Timestamp,I agree to these terms and conditions,Which of the following roles best describes you?,Which of the following do you have significant formal training in or experience with? Select all that apply.,Where do you currently primarily work?,How would you describe your work?,How would you rate your computational skills?,How would you rate your comfort in developing new computational skills?,How manual would you say your current typical analysis workflow(s) are? ,How do you generally go about solving an image analysis problem? Check the approach(es) you use the most.,"Have you ever used forum.image.sc, and how?",How frequently do you use scripting to solve image analysis problems?,How frequently do you use machine learning (including but not limited to deep learning or Large Language Models) to solve image analysis problems?,"In regards to learning more about image analysis, how preferable do you find each of these instructional methods? [Scholarly ""best practices"" article]","In regards to learning more about image analysis, how preferable do you find each of these instructional methods? [Written step-by-step tutorial]","In regards to learning more about image analysis, how preferable do you find each of these instructional methods? [Video tutorial]","In regards to learning more about image analysis, how preferable do you find each of these instructional methods? [Interactive webinar]","In regards to learning more about image analysis, how preferable do you find each of these instructional methods? [One-on-one ""office hours"" with an expert]","In regards to learning more about image analysis, how preferable do you find each of these instructional methods? [In person seminar/tutorial lasting <1 day]","In regards to learning more about image analysis, how preferable do you find each of these instructional methods? [Multiday workshop]","In regards to learning more about image analysis, how preferable do you find each of these instructional methods? [Human+machine dialogues with an LLM]",How interested are you in learning more about the following topics? [Image analysis theory],How interested are you in learning more about the following topics? [General image analysis best practices],How interested are you in learning more about the following topics? [Image analysis practices related to my (sub) discipline],How interested are you in learning more about the following topics? [Learning to use a particular software tool],How interested are you in learning more about the following topics? [Deep learning as applied to image analysis],How interested are you in learning more about the following topics? [Analyzing large images/large numbers of images],How interested are you in learning more about the following topics? [Visualizing image analysis results],How interested are you in learning more about the following topics? [Image analysis training and education (pedagogy)],The next question will ask you about particular image analysis tools and techniques. Do you want to answer questions about microscopy in the field/area of life sciences or physical sciences?,What image analysis tools have you used before? (check all that apply),What image analysis tools do you use the most?,"If/when you use open source point-and-click software tools (e.g. ImageJ, Fiji, QuPath, Icy, CellProfiler, napari or others), what makes you select these tools in particular? [Cost]","If/when you use open source point-and-click software tools (e.g. ImageJ, Fiji, QuPath, Icy, CellProfiler, napari or others), what makes you select these tools in particular? [Ease of use]","If/when you use open source point-and-click software tools (e.g. ImageJ, Fiji, QuPath, Icy, CellProfiler, napari or others), what makes you select these tools in particular? [Ease of access]","If/when you use open source point-and-click software tools (e.g. ImageJ, Fiji, QuPath, Icy, CellProfiler, napari or others), what makes you select these tools in particular? [Flexibility]","If/when you use open source point-and-click software tools (e.g. ImageJ, Fiji, QuPath, Icy, CellProfiler, napari or others), what makes you select these tools in particular? [Availability of tutorials]","If/when you use open source point-and-click software tools (e.g. ImageJ, Fiji, QuPath, Icy, CellProfiler, napari or others), what makes you select these tools in particular? [The ability to perform analyses without prior programming knowledge]","If/when you use open source point-and-click software tools (e.g. ImageJ, Fiji, QuPath, Icy, CellProfiler, napari or others), what makes you select these tools in particular? [Reproducibility/transparency about how analysis was done]",What kinds of images do you commonly want to analyze (select all that apply? [Brightfield/DIC/phase-contrast of cells or organisms from manually selected fields],What kinds of images do you commonly want to analyze (select all that apply? [Brightfield/DIC/phase-contrast of cells or organisms from an automated microscope (such as a high content imager)],What kinds of images do you commonly want to analyze (select all that apply? [Fluorescent images of cells/organisms from manually selected fields],What kinds of images do you commonly want to analyze (select all that apply? [Fluorescent images of cells/organisms from an automated microscope (such as a high content imager)],What kinds of images do you commonly want to analyze (select all that apply? [Histologically stained tissue sections],What kinds of images do you commonly want to analyze (select all that apply? [Electron microscopy],What kinds of images do you commonly want to analyze (select all that apply? [Imaging mass spectrometry],What kinds of images do you commonly want to analyze (select all that apply? [Imaging flow cytometry],What kinds of images do you commonly want to analyze (select all that apply? [Superresolution (PALM/STORM)],What kinds of images do you commonly want to analyze (select all that apply? [Autofluorescence imaging (i.e. FLIM)],What kinds of images do you commonly want to analyze (select all that apply? [Other],"What image analysis problems (i.e. finding nuclei, tissue analysis, analysis of super-resolution data, etc) do you think are generally well-solved?","What image analysis problems (i.e. finding nuclei, tissue analysis, analysis of super-resolution data, etc) do you wish had easier/better solutions?",How do you decide when your workflow is right/good enough?,What image analysis tools have you used before? (check all that apply).1,What image analysis tools do you use the most?.1,"If/when you use open source point-and-click software tools (e.g. ImageJ, Fiji, Gwyddion or others), what makes you use these tools rather than commercial software or computational libraries and scripts? [Cost]","If/when you use open source point-and-click software tools (e.g. ImageJ, Fiji, Gwyddion or others), what makes you use these tools rather than commercial software or computational libraries and scripts? [Ease of use]","If/when you use open source point-and-click software tools (e.g. ImageJ, Fiji, Gwyddion or others), what makes you use these tools rather than commercial software or computational libraries and scripts? [Ease of access]","If/when you use open source point-and-click software tools (e.g. ImageJ, Fiji, Gwyddion or others), what makes you use these tools rather than commercial software or computational libraries and scripts? [Flexibility]","If/when you use open source point-and-click software tools (e.g. ImageJ, Fiji, Gwyddion or others), what makes you use these tools rather than commercial software or computational libraries and scripts? [Availability of tutorials]","If/when you use open source point-and-click software tools (e.g. ImageJ, Fiji, Gwyddion or others), what makes you use these tools rather than commercial software or computational libraries and scripts? [The ability to perform analyses without prior programming knowledge]","If/when you use open source point-and-click software tools (e.g. ImageJ, Fiji, Gwyddion or others), what makes you use these tools rather than commercial software or computational libraries and scripts? [Reproducibility/transparency about how analysis was done]",What kinds of images do you commonly want to analyze (select all that apply? [Optical microscopy/DIC/fractography],What kinds of images do you commonly want to analyze (select all that apply? [Scanning electron microscopy (secondary electron or back scattered imaging)],"What kinds of images do you commonly want to analyze (select all that apply? [Transmission electron microscopy (including electron diffraction and STEM imaging, e.g. HAADF-STEM)]","What kinds of images do you commonly want to analyze (select all that apply? [Spectroscopy/diffractive imaging in the SEM/TEM (eg. EDS, EBSD, EELS, CL)]",What kinds of images do you commonly want to analyze (select all that apply? [Imaging with mass spectrometry (eg SIMS/APT)],What kinds of images do you commonly want to analyze (select all that apply? [X-ray microscopy (including tomography)],"What kinds of images do you commonly want to analyze (select all that apply? [Scanning probe microscopy (AFM, STM and related techniques)]",What kinds of images do you commonly want to analyze (select all that apply? [Fluorescence microscopy],What kinds of images do you commonly want to analyze (select all that apply? [Other].1,"What image analysis problems (i.e. segmenting particles, 3D reconstruction, spectroscopic analysis, extracting force/mechanical property measurements, etc) do you think are generally well-solved?","What image analysis problems (i.e. segmenting particles, 3D reconstruction, spectroscopic analysis, extracting force/mechanical property measurements, etc) do you wish had easier/better solutions?",How do you decide when your workflow is right/good enough?.1,Where did you hear about this survey? Please select all that apply.,Please select any of the following you have attended in the past,"How would you most prefer to be notified about image analysis workshops, sessions, or conferences being planned?","Are there any image analysis workshops, tutorials, or conferences that you have participated in and found particularly helpful?  If yes, what made them beneficial?","Have you put into practice things you have learned at image analysis workshops/tutorials? If not, why not?",Are there any conferences you've attended in the past that you think would particularly benefit from the addition/expansion of image analysis offerings?,"What specific topics (i.e. overviews of a particular tool, comparisons between pieces of software, or how to use a certain tool for a certain kind of experiment) would you like to see prioritized for future image analysis workshop and tutorial offerings?",What do you think analysis tool CREATORS (such as software developers) could/should do to make image analysis better and more successful? How best could we encourage them to do it?,What do you think analysis tool USERS (such as microscopists) could/should do to make image analysis better and more successful?  How best could we encourage them to do it?,"What, if anything, would make forum.image.sc more useful to you?",Any other thoughts?,Single_Role,Trainee_Status,Work,Computation,Comfort,Manual,Science_Cat,In_Practice
10/11/2024 5:53:50,Yes,"Facility director/manager, Image/data analyst, Principal investigator","Cell/Molecular Biology, Image analysis/processing, Software engineering",North America,7,6,7,7.0,"Sit down with a tool I know and start playing with the data, Look up or ask on forum.image.sc","I answer questions and/or make announcements there, and may also sometimes post my own questions",7,5,Moderately preferable,Very preferable,Somewhat preferable,Somewhat preferable,Very preferable,Very preferable,Somewhat preferable,Not at all preferable,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,"Life sciences: e.g. biology, biomedicine","Commercial software that comes with my microscope, Other commercial software, Open source point-and-click software, Computational libraries and scripts","Open source point-and-click software (ImageJ, Fiji, QuPath, Icy, CellProfiler, napari, etc)",Very important,Very important,Very important,Very important,Very important,Moderately important,Very important,,,,"2D, 2D + time, 3D (<3000x3000x100)",,,,,,,,Nuclei and cell segmentation ,Batch alignment,Error class balancing,No tools,No tools,,,,,,,,,,,,,,,,,,,,"Word of mouth, Other","Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis, Conference dedicated to imaging or image analysis, Hackathon (software development meetup) dedicated to imaging or image analysis","Postings on image.sc forum or microforum, Twitter / X, Other social media, Central online calendar of events",,,,,,Report bugs,,,Principle Investigator,Non Trainee,Analyst,High Skill,High Comfort,Highly Manual,Life Sciences,
10/11/2024 7:07:41,Yes,Research scientist/associate/staff,Cell/Molecular Biology,Europe,7,3,5,4.0,"Sit down with a tool I know and start playing with the data, Ask a large language model, Look up or ask on forum.image.sc, Look up solutions generally on the internet (Google)","I use it as a place to look for information, and I sometimes post questions there",6,7,Somewhat preferable,Very preferable,Very preferable,Very preferable,Very preferable,Very preferable,Very preferable,Very preferable,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,"Life sciences: e.g. biology, biomedicine","Commercial software that comes with my microscope, Other commercial software, Open source point-and-click software, Computational libraries and scripts","Open source point-and-click software (ImageJ, Fiji, QuPath, Icy, CellProfiler, napari, etc)",Moderately important,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,,,,2D,2D,,,,,,,Nuclei segmentation,Ease of use of spatial analysis methods post cell segmentation and cell classification stage,Learn from failures,No tools,No tools,,,,,,,,,,,,,,,,,,,,Postings on image.sc forum or microforum,Workshop/tutorial on imaging or image analysis,"Postings on image.sc forum or microforum, Email list",SciLife workshop in Uppsala/Stockholm. MIA workshop in San Diego,Yes,,Hands-on tutorial on how to use certain softwares. How to use R/python packages to analyze spatial data,Be more active in the forum and on Youtube. Listen and implement features requested by users.,,It is already great,,Faculty/Staff,Non Trainee,Analyst,Medium Skill,Medium Comfort,Variable Automation,Life Sciences,Yes
10/11/2024 8:03:18,Yes,Undergraduate/Graduate student,"Cell/Molecular Biology, Medicine, Image analysis/processing",Europe,6,6,7,6.0,"Ask a friend or colleague to help me, Ask a large language model, Look up or ask on forum.image.sc","I answer questions and/or make announcements there, and may also sometimes post my own questions",7,7,Very preferable,Moderately preferable,Very preferable,Moderately preferable,Very preferable,Very preferable,Moderately preferable,Moderately preferable,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,"Life sciences: e.g. biology, biomedicine","Open source point-and-click software, Computational libraries and scripts","Open source point-and-click software (ImageJ, Fiji, QuPath, Icy, CellProfiler, napari, etc)",Very important,Moderately important,Very important,Very important,Moderately important,Somewhat important,Very important,,,"2D, 3D (<3000x3000x100)","2D, 3D (<3000x3000x100)","2D, 2D + time",,,,,,,"I guess that nuclei detection imporved a lot recently, at least for my samples. the options of Stardist,Cellpose and InstanSeg are incredible","Distinguishing tissue regions, for example, tumors, stroma, hemorrhage, or necrosis, can be challenging. Also if you want to detect not such common structures like mitosis, or FISH probes, or you images are perfect or this can be really challenging","I have a strong background in Biology and I validate the results with physicians. If all of us are agree with the results, is when we consider that is good enough. ",No tools,No tools,,,,,,,,,,,,,,,,,,,,Postings on image.sc forum or microforum,"Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis, Conference dedicated to imaging or image analysis","Postings on image.sc forum or microforum, Email list","I attended the Advanced Methods In Bioimage Analysis Summer School in Brno. The experience was amazing, a full week of just image analysis with experts. The mix of theory and labs was extremly usefull.  ","Yes, basically all my PhD is based in those tutorials, workshops","The imageSC-Live conference in Gather Town is really usefull. Solve doubts, new ideas, networking, friendship... I guess it would be really nice to do it more often.","Perhaps is too complex, but i would like a ""cross platform"" tutorial. i.e at the end of the day we have the same problems but we use different softwares based on our preferences. So I guess that something like this coud be interesting: Problem: ""I want to segment cells with cellpose"" and do a tutorial with FIJI, CellProfiler,  QuPath, Napari and Python. In other cases, do tutorials using the power of the different softwares tooguether for example:   okay I can do this segementation in QuPath, then I export the tiles and mask using this script and I can use Cellprofiler to extract morphological data. This kind of tutorials could be really usefull. ","I guess that It would be good to have online sessions once every 3-5 months. To ask to the comunity some feedback with the programs or ask for preferences of the users. Perhaps sometimes the users think why something is not present in the program and perhaps the developers have never realized that it was a ""problem"".","I guess that we mainly share our questions, but we barely comment the results or the problems that we have. I guess that if it could be possible to share more the specific ""case"", so share the initial problem, the different options to handle the problem, and the final solution or proposal to that problem, can be really nice. Perhaps there is a paper or a prerprint, but do some kind of anouncement or video explaining it could be nice","I think that more ""human"" interaction could be nice. Perhaps do ""The month of X software"". So that month do a long post or an online meeting doing a summary of the questions related with that software in the last months. Perhaps add info about what the developers are working on and have some discussion could be nice. We cannot read all the posts, so those summaries could be really nice","My last thought, but it is a little bit more complex, is to do a category for Pytorch. It is one of the most used frameworks nowadays. There is already a pytorch forum, but one specific in image analysis would be really nice. Perhaps to put some basic tutorials, and increasing a little bit more the complexity, or to put resources. 

Image SC forum literally changed my way of doing experiments during my PhD. I would like to thank all the developers and maintainers of the forum. Thank you for everything :)",Student,Trainee,Analyst,High Skill,High Comfort,Highly Manual,Life Sciences,Yes
10/11/2024 8:06:17,Yes,"Facility staff, Image/data analyst","Cell/Molecular Biology, Image analysis/processing",North America,6,4,4,4.0,"Sit down with a tool I know and start playing with the data, Ask a friend or colleague to help me, Look up or ask on forum.image.sc, Look up solutions generally on the internet (Google), Look up solutions on a particular website (please list below), Look up solutions in the scientific literature","I answer questions and/or make announcements there, and may also sometimes post my own questions",3,3,Very preferable,Very preferable,Very preferable,Very preferable,Very preferable,Very preferable,Very preferable,Moderately preferable,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,"Life sciences: e.g. biology, biomedicine","Commercial software that comes with my microscope, Other commercial software, Open source point-and-click software, Computational libraries and scripts","Commercial software that comes with my microscope (ie Columbus, Elements, Softworx, Zen, etc)",Moderately important,Moderately important,Very important,Very important,Very important,Very important,Very important,"2D, 2D + time, 3D (<3000x3000x100), 3D + time, 3D (SPIM/large volume), 3D large volume + time","2D, 2D + time, 3D (<3000x3000x100), 3D + time, 3D (SPIM/large volume), 3D large volume + time","2D, 2D + time, 3D (<3000x3000x100), 3D + time, 3D (SPIM/large volume), 3D large volume + time","2D, 2D + time, 3D (<3000x3000x100), 3D + time, 3D (SPIM/large volume), 3D large volume + time","2D, 3D (<3000x3000x100)","2D, 3D (<3000x3000x100)","2D, 2D + time, 3D (<3000x3000x100), 3D + time, 3D (SPIM/large volume), 3D large volume + time",,"2D, 2D + time, 3D (<3000x3000x100), 3D + time, 3D (SPIM/large volume), 3D large volume + time","2D, 2D + time, 3D (<3000x3000x100), 3D + time, 3D (SPIM/large volume), 3D large volume + time",,"Nuclei segmentation, cell segmentation in tissue images, counting cells in light-sheet fluorescence microscopy. These are common analyses I address in my core facility.","Analysis of large-volume light-sheet microscopy data, management of very large data.",I use the Mask Instance Comparator plugin in Fiji to assess my segmentations. Having ground-truth segmentations helps. I think segmentation is the bane of every image analysis protocol.,No tools,No tools,,,,,,,,,,,,,,,,,,,,Postings on image.sc forum or microforum,"Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis, Conference dedicated to imaging or image analysis","Word of mouth, My local microscopy facility, Postings on image.sc forum or microforum, A discipline-specific society or network, Email list, Central online calendar of events","QuPath workshops at the La Jolla Institute, Images2Knowledge. The tutorials and step-by-step demonstrations really help me.",Absolutely!,"ABRF, Microscopy and Micro-analysis",Python coding for absolute novices. I have no experience with Python coding.,More software with GUIs and less command-line interface.,"Attend workshops, read image analysis literature - learn it! Take high quality images!",More step-by-step protocols.,Learning Python or MATLAB coding needs to be more accessible and less intimidating to people with little math and coding skills like myself.,Faculty/Staff,Non Trainee,Analyst,Medium Skill,Medium Comfort,Variable Automation,Life Sciences,Yes
10/11/2024 9:50:52,Yes,Research scientist/associate/staff,"Cell/Molecular Biology, Statistics/Biostatistics, Image analysis/processing",Europe,6,5,6,4.0,Sit down with a tool I know and start playing with the data,"I use it as a place to look for information, and I sometimes post questions there",5,4,Very preferable,Very preferable,Moderately preferable,Very preferable,Very preferable,Very preferable,Moderately preferable,Somewhat preferable,Moderately interested,Very interested,Very interested,Very interested,Very interested,Very interested,Moderately interested,Somewhat interested,"Life sciences: e.g. biology, biomedicine","Commercial software that comes with my microscope, Open source point-and-click software, Computational libraries and scripts","Open source point-and-click software (ImageJ, Fiji, QuPath, Icy, CellProfiler, napari, etc)",Moderately important,Very important,Very important,Very important,Somewhat important,Somewhat important,Moderately important,2D,2D,"2D, 3D (<3000x3000x100)","2D, 3D (<3000x3000x100)",,,,,,,,"finding nuclei, cells",finding non-circular objects (e.g. worms),comparison of automated analysis with manual results,No tools,No tools,,,,,,,,,,,,,,,,,,,,Postings on image.sc forum or microforum,"Workshop/tutorial on imaging or image analysis, Conference dedicated to imaging or image analysis",Postings on image.sc forum or microforum,,"I'm in general interested in image analysis, so sometimes I go to webinars and learn about tools I don't currently need. Sometimes a use case pops up later. In some cases, I have to learn about a tool in a workshop/tutorial to find out, if it is useful to me or not.",,"Workflows of ""how to do things correctly"". E.g. intensity measurement in fluorescence images (a very common usecase) with a specific tool from image aquisition to the final result with all steps that should be done (and things one should not do). Not just showing all the possibilities a tool has, but really explaining what to use in a certain context.",Good and easily findable documentation of the tools.,"The users should be encouraged to learn about image analysis, before they just do what ""was always done this way"". To be honest, I don't know how to achieve that... A general awearness that there are a lot of cool tools out there and accessibility for finding help would be good. But on the other hand, there are so many tools and possibilities that a new user easily gets overwhelmed. Having an expert to guide one through this jungle would be nice, preferrably for no cost ^^",,,Faculty/Staff,Non Trainee,Analyst,Medium Skill,High Comfort,Variable Automation,Life Sciences,No
10/11/2024 10:04:43,Yes,"Postdoctoral fellow, Image/data analyst","Statistics/Biostatistics, Image analysis/processing, Computer science, Electrical & Computer engineering, Deep learning",Africa,7,6,7,5.0,"Sit down with a tool I know and start playing with the data, Ask a friend or colleague to help me, Look up or ask on forum.image.sc, Look up solutions generally on the internet (Google), Look up solutions in the scientific literature","I answer questions and/or make announcements there, and may also sometimes post my own questions",6,6,Moderately preferable,Moderately preferable,Somewhat preferable,Not at all preferable,Somewhat preferable,Somewhat preferable,Somewhat preferable,Somewhat preferable,Moderately interested,Moderately interested,Moderately interested,Somewhat interested,Very interested,Moderately interested,Very interested,Very interested,"Life sciences: e.g. biology, biomedicine","Commercial software that comes with my microscope, Other commercial software, Open source point-and-click software, Computational libraries and scripts","Computational libraries and scripts (Python e.g. scikit-image, MATLAB, etc)",Very important,Moderately important,Moderately important,Moderately important,Moderately important,Not at all important,Somewhat important,2D,"2D, 2D + time","2D, 2D + time, 3D (<3000x3000x100)","2D, 2D + time, 3D (<3000x3000x100), 3D + time",2D,,,,,"2D, 2D + time","2D, 2D + time","finding nuclei, deconvolution",analyse mitochondria network properly,"check what literature does, try for a while",No tools,No tools,,,,,,,,,,,,,,,,,,,,Postings on image.sc forum or microforum,"Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis, Conference dedicated to imaging or image analysis, Hackathon (software development meetup) dedicated to imaging or image analysis","My local microscopy facility, Postings on image.sc forum or microforum, Email list","neubias, semm ifom image analysis doctoral courses, ACE-Kampala fiji course",yes,no,deep learning and machine learning theory and example,"some creators sometimes seem to want just to show off how good they are in programming, forgetting the fact that in biology a lot of times user-friendliness is the key",read more literature,not discourage commercial software discussions,"enhance the access to resources and training and scientific exchanges from, to, within Africa",Postdoctoral Fellow,Trainee,Analyst,High Skill,High Comfort,Variable Automation,Life Sciences,Yes
10/11/2024 10:17:51,Yes,"Facility staff, Image/data analyst","Cell/Molecular Biology, Image analysis/processing",Europe,7,6,6,7.0,"Sit down with a tool I know and start playing with the data, Ask a large language model","I answer questions and/or make announcements there, and may also sometimes post my own questions",7,5,Moderately preferable,Very preferable,Moderately preferable,Somewhat preferable,Moderately preferable,Moderately preferable,Moderately preferable,Somewhat preferable,Somewhat interested,Somewhat interested,Moderately interested,Moderately interested,Moderately interested,Very interested,Very interested,Very interested,"Life sciences: e.g. biology, biomedicine","Open source point-and-click software, Computational libraries and scripts","Computational libraries and scripts (Python e.g. scikit-image, MATLAB, etc)",Somewhat important,Moderately important,Somewhat important,Very important,Somewhat important,Not at all important,Moderately important,,,"3D (<3000x3000x100), 3D + time, 3D (SPIM/large volume), 3D large volume + time","2D, 3D (<3000x3000x100), 3D (SPIM/large volume)",,,,,,,,"Segmentation, basic measurements","Advanced measurements, usability of new methods",,No tools,No tools,,,,,,,,,,,,,,,,,,,,"The Images2Knowledge(I2K) conference, Word of mouth, Postings on image.sc forum or microforum, A discipline-specific society or network","Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis, Conference dedicated to imaging or image analysis, Hackathon (software development meetup) dedicated to imaging or image analysis","Word of mouth, My local microscopy facility, Postings on image.sc forum or microforum, A discipline-specific society or network, Twitter / X, Other social media, Email list, Central online calendar of events",NEUBIAS & CBIAS for very good exchange with people,,,"How to work with modern file formats like OME-Zarr, reproducibility in image analysis","Create tools that are easy to use (e.g. integrate into existing frameworks) or are well implemented to be wrapped in such platforms (e.g. well maintained Python packages with a clear API).
How do we encourage them? We hire people to actually do that job, we don't just expect that this will magically happen. We hire people at image analysis facilities. We make it people's job to build and maintain tools, not just to publish new methods","Cite the tools they use, include developers of tools that built something specifically for them on author list, pay for image analysis support (e.g. pay usage fees or consulting fees at their local facility).
We need to build awareness of what is needed in image analysis and how we as a community of image analysts can support researchers in doing their image analysis",,,Faculty/Staff,Non Trainee,Analyst,High Skill,High Comfort,Highly Manual,Life Sciences,
10/11/2024 11:06:27,Yes,Postdoctoral fellow,"Chemistry/Biochemistry, Cell/Molecular Biology, Image analysis/processing",Europe,4,4,5,4.0,"Sit down with a tool I know and start playing with the data, Look up or ask on forum.image.sc, Look up solutions generally on the internet (Google)","I answer questions and/or make announcements there, and may also sometimes post my own questions",6,5,Moderately preferable,Very preferable,Somewhat preferable,Somewhat preferable,Somewhat preferable,Not at all preferable,Moderately preferable,Somewhat preferable,Moderately interested,Moderately interested,Very interested,Moderately interested,Very interested,Very interested,Somewhat interested,Somewhat interested,"Life sciences: e.g. biology, biomedicine","Commercial software that comes with my microscope, Other commercial software, Open source point-and-click software, Computational libraries and scripts","Open source point-and-click software (ImageJ, Fiji, QuPath, Icy, CellProfiler, napari, etc)",Moderately important,Very important,Very important,Very important,Very important,Somewhat important,Very important,2D,,"2D, 2D + time, 3D (<3000x3000x100)","2D, 3D (<3000x3000x100), 3D (SPIM/large volume)",,2D,,,,3D (SPIM/large volume),,,,,No tools,No tools,,,,,,,,,,,,,,,,,,,,Postings on image.sc forum or microforum,,"Postings on image.sc forum or microforum, Other social media",,,,,,,,,Postdoctoral Fellow,Trainee,Balanced,Medium Skill,Medium Comfort,Variable Automation,Life Sciences,
10/11/2024 11:24:50,Yes,"Facility director/manager, Image/data analyst","Physics/Biophysics, Cell/Molecular Biology, Image analysis/processing, Computer science, Electrical & Computer engineering, Software engineering",Europe,7,6,3,6.0,"Sit down with a tool I know and start playing with the data, Look up or ask on forum.image.sc, Look up solutions generally on the internet (Google), Look up solutions in the scientific literature",I answer questions and/or make announcements there only,6,3,Very preferable,Very preferable,Somewhat preferable,Moderately preferable,Very preferable,Somewhat preferable,Somewhat preferable,Not at all preferable,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Moderately interested,Moderately interested,Not at all interested,"Life sciences: e.g. biology, biomedicine","Commercial software that comes with my microscope, Other commercial software, Open source point-and-click software, Computational libraries and scripts","Open source point-and-click software (ImageJ, Fiji, QuPath, Icy, CellProfiler, napari, etc)",Not at all important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not at all important,"2D, 2D + time","2D, 2D + time","2D, 2D + time, 3D (<3000x3000x100), 3D + time, 3D large volume + time","2D, 2D + time, 3D (<3000x3000x100), 3D + time, 3D large volume + time",2D,,2D,,,,,"2D cell segmentation, 2D nuclei segmentation",All the 3D version of these problems.,When I feel there is nothing more I could do.,No tools,No tools,,,,,,,,,,,,,,,,,,,,Postings on image.sc forum or microforum,"Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis, Conference dedicated to imaging or image analysis, Hackathon (software development meetup) dedicated to imaging or image analysis","Postings on image.sc forum or microforum, Twitter / X",,Yes.,,,Python tools are a real struggle to our users. The install is brittle.,"Comply to conventions when exchanging data with analysts (naming, number and order of channels, etc). We really loose days because of this.",It is really good. Let's not touch something that work that well.,"You rock, but you already know it :)",Facility Director/Manager,Non Trainee,Analyst,High Skill,Medium Comfort,Highly Manual,Life Sciences,Yes
10/11/2024 11:59:42,Yes,Facility director/manager,"Cell/Molecular Biology, Image analysis/processing, Computer science",North America,4,6,6,6.0,"Sit down with a tool I know and start playing with the data, Look up or ask on forum.image.sc","I answer questions and/or make announcements there, and may also sometimes post my own questions",7,3,Somewhat preferable,Moderately preferable,Very preferable,Moderately preferable,Somewhat preferable,Moderately preferable,Moderately preferable,Not at all preferable,Very interested,Moderately interested,Moderately interested,Somewhat interested,Somewhat interested,Moderately interested,Very interested,Very interested,"Life sciences: e.g. biology, biomedicine","Commercial software that comes with my microscope, Open source point-and-click software, Computational libraries and scripts","Open source point-and-click software (ImageJ, Fiji, QuPath, Icy, CellProfiler, napari, etc)",Moderately important,Somewhat important,Moderately important,Very important,Moderately important,Not at all important,Moderately important,,,"3D (<3000x3000x100), 3D + time, 3D (SPIM/large volume)",,2D,,,,,,"3D (<3000x3000x100), 3D (SPIM/large volume)","Segmentation, particularly for nuclei, and even more particularly for 2D nuclei.","Image registration, particularly fully automatic registration of a 3D image to another; similar to Fijiyama, but without the need to manually register first. This is actually something I've been wanting to work on, but haven't had the time.

Mesh analysis, particularly for the ImageJ-mesh library. I would love to be able to get surface curvature uv maps, or local object thickness uv maps. 

3D Spatial statistics (not colocalization) in Fiji. There's a lot of spatial statistics algorithms in general, but the only Fiji implemented ones I know of are DiAna, the old Spatial Statistics 2D/3D plugin, and kind of mine (colocalization by cross-correlation). Paper for others: Spatial Statistics for Understanding Tissue Organization","Ideally when it is fully automated, robust to the range of variability in the images, and produces the expected results (results I expect based on looking at the image data, not necessarily the results the investigator wants).",No tools,No tools,,,,,,,,,,,,,,,,,,,,Postings on image.sc forum or microforum,"Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis",Postings on image.sc forum or microforum,"Sadly I haven't attended very many, and the one I did attend (virtually) was mostly about Python, which is not my language of choice. I would love to attend more, but most are in-person and it's hard to get the time/permission to get to them. ","No, see comment above, the ones I did attend were mostly about python. ","I think all of them would benefit from this. Mostly, I think they should be used to encourage investigators to pressure their schools/universities into hiring bioimage analysts. ",,"I think encouraging full adoption of modern standardized frameworks and libraries, particularly SciJava and ImgLib2, would be the most helpful. I find it incredibly hard to incorporate some of the Plugin features into scripts, especially headless scripts, simply because they have GUI elements or have very convoluted call functions. Using a standard would help make things more consistent. 

I think making some online tutorial videos of implementing a plugin using SciJava, particularly a ""Getting Started"" video would be very helpful. When I first started, it seemed like https://imagej.net/develop/plugins assumed a fair amount of Java development knowledge already. Not to mention the plethora of large, complex instructions was very daunting. Would have loved a ""How to start writing your own plugin using IntelliJ Idea"" video or something similar.",Find and discuss their ideas with a bioimage analyst. I think we just need to start encouraging the establishment of this position as a norm. ,"An Android tiff viewer that works with stacks and can adjust brightness and contrast. I check the forum on my phone a lot, and it's kind of annoying to not be able to check the images people post. ","I would love to see more virtual conference capabilities, or conference recording. Sadly, as a director I am just not able to physically attend a lot of the image analysis conferences/hackathons, particularly because many seem to be in Europe. ",Facility Director/Manager,Non Trainee,Balanced,High Skill,High Comfort,Highly Manual,Life Sciences,No
